Date,Week,Away Team,Away Score,Home Team,Home Score,Neutral Field
Aug 27 2014,1,Abilene Christian,37,Georgia State,38,
Aug 28 2014,1,Howard,0,Akron,41,
Aug 28 2014,1,Weber State,14,Arizona State,45,
Aug 28 2014,1,Chattanooga,16,Central Michigan,20,
Aug 28 2014,1,Wake Forest,10,Louisiana-Monroe,17,
Aug 28 2014,1,Eastern Illinois,20,Minnesota,42,
Aug 28 2014,1,Boise State,13,Mississippi,35,Georgia Dome - Atlanta GA
Aug 28 2014,1,Cal Poly,10,New Mexico State,28,
Aug 28 2014,1,Presbyterian,3,Northern Illinois,55,
Aug 28 2014,1,Rutgers,41,Washington State,38,
Aug 28 2014,1,North Dakota,10,San Jose State,42,
Aug 28 2014,1,Temple,37,Vanderbilt,7,
Aug 28 2014,1,Texas A&amp;M,52,South Carolina,28,
Aug 28 2014,1,Tulane,31,Tulsa,38,
Aug 28 2014,1,Idaho State,14,Utah,56,
Aug 29 2014,1,Nevada-Las Vegas,13,Arizona,58,
Aug 29 2014,1,Brigham Young,35,Connecticut,10,
Aug 29 2014,1,Colorado,17,Colorado State,31,Sports Authority Field at Mile High Stadium - Denver CO
Aug 29 2014,1,Jacksonville State,7,Michigan State,45,
Aug 29 2014,1,Villanova,26,Syracuse,27,
Aug 29 2014,1,Texas-San Antonio,27,Houston,7,
Aug 29 2014,1,Bowling Green State,31,Western Kentucky,59,
Aug 30 2014,1,Nicholls State,16,Air Force,44,
Aug 30 2014,1,West Virginia,23,Alabama,33,Georgia Dome - Atlanta GA
Aug 30 2014,1,Troy,10,Alabama-Birmingham,48,
Aug 30 2014,1,Montana State,10,Arkansas State,37,
Aug 30 2014,1,Arkansas,21,Auburn,45,
Aug 30 2014,1,Colgate,10,Ball State,30,
Aug 30 2014,1,Bethune-Cookman,14,Florida International,12,
Aug 30 2014,1,Boston College,30,Massachusetts,7,
Aug 30 2014,1,Duquesne,28,Buffalo,38,
Aug 30 2014,1,California,31,Northwestern,24,
Aug 30 2014,1,Elon,13,Duke,52,
Aug 30 2014,1,North Carolina Central,7,East Carolina,52,
Aug 30 2014,1,Morgan State,28,Eastern Michigan,31,
Aug 30 2014,1,Oklahoma State,31,Florida State,37,AT&amp;T Stadium - Arlington TX
Aug 30 2014,1,Clemson,21,Georgia,45,
Aug 30 2014,1,Wofford,19,Georgia Tech,38,
Aug 30 2014,1,Youngstown State,17,Illinois,28,
Aug 30 2014,1,Indiana State,10,Indiana,28,
Aug 30 2014,1,Northern Iowa,23,Iowa,31,
Aug 30 2014,1,Stephen F. Austin,16,Kansas State,55,
Aug 30 2014,1,Tennessee-Martin,14,Kentucky,59,
Aug 30 2014,1,Wisconsin,24,Louisiana State,28,NRG Stadium - Houston TX
Aug 30 2014,1,Southern,6,Louisiana-Lafayette,45,
Aug 30 2014,1,Marshall,42,Miami (OH),27,
Aug 30 2014,1,James Madison,7,Maryland,52,
Aug 30 2014,1,Austin Peay,0,Memphis,63,
Aug 30 2014,1,Appalachian State,14,Michigan,52,
Aug 30 2014,1,Savannah State,7,Middle Tennessee State,61,
Aug 30 2014,1,Southern Mississippi,0,Mississippi State,49,
Aug 30 2014,1,South Dakota State,18,Missouri,38,
Aug 30 2014,1,Florida Atlantic,7,Nebraska,55,
Aug 30 2014,1,Southern Utah,19,Nevada,28,
Aug 30 2014,1,Liberty,29,North Carolina,56,
Aug 30 2014,1,Georgia Southern,23,North Carolina State,24,
Aug 30 2014,1,North Dakota State,34,Iowa State,14,
Aug 30 2014,1,Rice,17,Notre Dame,48,
Aug 30 2014,1,Ohio,17,Kent State,14,
Aug 30 2014,1,Navy,17,Ohio State,34,M&amp;T Bank Stadium - Baltimore MD
Aug 30 2014,1,Louisiana Tech,16,Oklahoma,48,
Aug 30 2014,1,Hampton,28,Old Dominion,41,
Aug 30 2014,1,South Dakota,13,Oregon,62,
Aug 30 2014,1,Portland State,14,Oregon State,29,
Aug 30 2014,1,Central Florida,24,Penn State,26,Croke Park Stadium - Dublin Ireland
Aug 30 2014,1,Delaware,0,Pittsburgh,62,
Aug 30 2014,1,Western Michigan,34,Purdue,43,
Aug 30 2014,1,Northern Arizona,7,San Diego State,38,
Aug 30 2014,1,Western Carolina,31,South Florida,36,
Aug 30 2014,1,Fresno State,13,Southern California,52,
Aug 30 2014,1,California-Davis,0,Stanford,45,
Aug 30 2014,1,North Texas,7,Texas,38,
Aug 30 2014,1,Samford,14,Texas Christian,48,
Aug 30 2014,1,Arkansas-Pine Bluff,0,Texas State,65,
Aug 30 2014,1,Central Arkansas,35,Texas Tech,42,
